Item Group Code,Item Group,Item Code,Item,HS Code,HS07 Code,HS12 Code,CPC Code
1714,Crops Primary,800,Agave fibres nes,,530500,530500,1929.06
1714,Crops Primary,221,"Almonds, with shell",,80211,80211,1371
1714,Crops Primary,711,"Anise, badian, fennel, coriander",,"090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962",1654
1714,Crops Primary,515,Apples,,80810,80810,1341
1714,Crops Primary,526,Apricots,,80910,80910,1343
1714,Crops Primary,226,Areca nuts,,80290,80280,1379.01
1714,Crops Primary,366,Artichokes,,70990,70991,1216
1714,Crops Primary,367,Asparagus,,70920,70920,1211
1714,Crops Primary,572,Avocados,,80440,80440,1311
1714,Crops Primary,203,Bambara beans,,71339,71334,1708
1714,Crops Primary,486,Bananas,,80300,80390,1312
1714,Crops Primary,44,Barley,,100300,"100310, 100390",115
1714,Crops Primary,782,"Bastfibres, other",,"530310, 530390","530310, 530390",1922.02
1714,Crops Primary,176,"Beans, dry",,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339",1701
1714,Crops Primary,414,"Beans, green",,70820,70820,1241.9
1714,Crops Primary,558,Berries nes,,"081020, 081040","081020, 081040",1355.9
1714,Crops Primary,552,Blueberries,,81040,81040,1355.01
1714,Crops Primary,216,"Brazil nuts, with shell",,80121,80121,1377
1714,Crops Primary,181,"Broad beans, horse beans, dry",,71350,71350,1702
1714,Crops Primary,89,Buckwheat,,100810,100810,1192
1714,Crops Primary,358,Cabbages and other brassicas,,"070420, 070490","070420, 070490",1212
1714,Crops Primary,101,Canary seed,,100830,100830,1195
1714,Crops Primary,461,Carobs,,121299,121292,1356
1714,Crops Primary,426,Carrots and turnips,,70610,70610,1251
1714,Crops Primary,217,"Cashew nuts, with shell",,80131,80131,1372
1714,Crops Primary,591,Cashewapple,,81090,81090,1359.02
1714,Crops Primary,125,Cassava,,71410,71410,1520.01
1714,Crops Primary,265,Castor oil seed,,120799,120730,1447
1714,Crops Primary,393,Cauliflowers and broccoli,,70410,70410,1213
1714,Crops Primary,108,Cereals nes,,100890,100890,1199.9
1714,Crops Primary,531,Cherries,,80920,80929,1344.02
1714,Crops Primary,530,"Cherries, sour",,80920,80921,1344.01
1714,Crops Primary,220,Chestnut,,80240,"080241, 080242",1373
1714,Crops Primary,191,Chick peas,,71320,71320,1703
1714,Crops Primary,459,Chicory roots,,121299,121294,1691
1714,Crops Primary,689,"Chillies and peppers, dry",,90420,"090421, 090422",1652
1714,Crops Primary,401,"Chillies and peppers, green",,70960,70960,1231
1714,Crops Primary,693,Cinnamon (cannella),,"090611, 090619, 090620","090611, 090619, 090620",1655
1714,Crops Primary,698,Cloves,,90700,"090710, 090720",1656
1714,Crops Primary,661,"Cocoa, beans",,180100,180100,1640
1714,Crops Primary,249,Coconuts,,80119,"080112, 080119",1460
1714,Crops Primary,656,"Coffee, green",,90111,90111,1610
1714,Crops Primary,195,"Cow peas, dry",,71339,71335,1706
1714,Crops Primary,554,Cranberries,,81040,81040,1355.02
1714,Crops Primary,397,Cucumbers and gherkins,,70700,70700,1232
1714,Crops Primary,550,Currants,,81090,81030,1351.01
1714,Crops Primary,577,Dates,,80410,80410,1314
1714,Crops Primary,399,Eggplants (aubergines),,70930,70930,1233
1714,Crops Primary,821,Fibre crops nes,,530500,530500,1929.9
1714,Crops Primary,569,Figs,,80420,80420,1315
1714,Crops Primary,773,Flax fibre and tow,,"530121, 530129","530121, 530129",26190.01
1714,Crops Primary,94,Fonio,,100890,100840,1193
1714,Crops Primary,512,"Fruit, citrus nes",,80590,80590,1329
1714,Crops Primary,619,"Fruit, fresh nes",,81090,81090,1359.9
1714,Crops Primary,542,"Fruit, pome nes",,81090,81090,1349.1
1714,Crops Primary,541,"Fruit, stone nes",,81090,81090,1349.2
1714,Crops Primary,603,"Fruit, tropical fresh nes",,"080450, 081060, 081090","080450, 081060, 081090",1319
1714,Crops Primary,406,Garlic,,70320,70320,1252
1714,Crops Primary,720,Ginger,,91010,"091011, 091012",1657
1714,Crops Primary,549,Gooseberries,,81090,81030,1351.02
1714,Crops Primary,103,"Grain, mixed",,100890,100890,1199.02
1714,Crops Primary,507,Grapefruit (inc. pomelos),,80540,80540,1321
1714,Crops Primary,560,Grapes,,80610,80610,1330
1714,Crops Primary,242,"Groundnuts, with shell",,"120210, 120220","120230, 120241",142
1714,Crops Primary,839,"Gums, natural",,400130,400130,3211
1714,Crops Primary,225,"Hazelnuts, with shell",,80221,80221,1374
